포지션,선수명,타구기회,타구성공,타구OAA,병살성공,순수수비득점(Runs),포지션보정,최종dWAR
유격수,박성한,431,350,34.45,40,45.28,7.5,5.278
2루수,신민재,363,301,40.1,24,43.68,2.5,4.618
2루수,정준재,344,292,36.05,29,42.24,2.46,4.47
3루수,송성문,300,249,37.3,23,40.9,2.14,4.304
3루수,김영웅,309,244,37.05,23,40.69,2.21,4.29
2루수,김상수,320,283,36.85,23,40.52,2.29,4.281
유격수,오지환,363,290,26.3,31,34.76,7.5,4.226
유격수,이재현,445,344,26.35,28,33.6,7.5,4.11
유격수,김주원,447,343,20.0,37,31.8,7.5,3.93
3루수,노시환,320,265,35.4,14,35.69,2.29,3.798
2루수,박민우,305,252,29.9,19,33.02,2.18,3.52
1루수,디아즈,268,242,45.8,11,43.33,-9.57,3.376
유격수,박찬호,443,364,15.25,33,26.16,7.5,3.366
2루수,류지혁,295,250,27.6,19,31.06,2.11,3.317
3루수,김휘집,311,245,28.5,16,30.62,2.22,3.284
유격수,권동진,305,238,20.2,14,22.77,6.54,2.931
2루수,황영묵,216,187,24.15,18,27.73,1.54,2.927
2루수,김태진,161,145,29.6,5,27.16,1.15,2.831
2루수,고승민,185,158,25.5,11,26.08,1.32,2.74
2루수,한태양,177,152,25.3,10,25.5,1.26,2.676
유격수,이유찬,187,155,19.2,15,22.32,4.01,2.633
2루수,오명진,186,159,21.6,12,23.16,1.33,2.449
3루수,문보경,210,163,20.45,12,22.18,1.5,2.368
유격수,심우준,267,206,15.3,10,17.01,5.72,2.273
2루수,이도윤,134,120,22.55,6,21.57,0.96,2.253
3루수,허경민,242,187,20.15,8,20.33,1.73,2.206
유격수,장준원,149,127,16.7,10,18.2,3.19,2.139
3루수,구본혁,91,80,19.25,7,19.16,0.65,1.981
유격수,구본혁,116,101,15.85,9,17.07,2.49,1.956
1루수,채은성,163,142,27.0,5,24.95,-5.82,1.913
1루수,고명준,209,182,25.4,11,25.99,-7.46,1.853
1루수,황재균,129,114,23.9,4,21.92,-4.61,1.731
1루수,오스틴,178,158,25.4,3,22.79,-6.36,1.643
2루수,김선빈,152,137,9.55,18,15.32,1.09,1.641
1루수,양석환,155,132,24.2,3,21.77,-5.54,1.623
중견수,정수빈,537,261,16.05,0,13.64,2.5,1.614
중견수,이주형,304,172,15.55,0,13.22,2.17,1.539
2루수,오윤석,98,88,12.7,9,14.4,0.7,1.51
유격수,어준서,271,195,2.95,16,8.91,5.81,1.472
3루수,박준순,145,105,10.35,12,13.6,1.04,1.464
1루수,최주환,160,143,20.85,6,20.12,-5.71,1.441
3루수,김민성,98,78,14.6,2,13.21,0.7,1.391
유격수,하주석,137,109,8.1,10,10.88,2.94,1.382
중견수,박해민,604,309,12.95,0,11.01,2.5,1.351
유격수,이호준,139,106,5.25,13,9.66,2.98,1.264
