batter_name,main_position,PA,wOBA,wRAA,Pos_Adj,Rep_Runs,oWAR
디아즈,1루수,628.0,0.435,52.414,-13.083,20.912,7.189
안현민,우익수,482.0,0.459,49.877,-6.025,16.051,6.463
송성문,3루수,646.0,0.412,41.443,2.692,21.512,6.172
구자욱,좌익수,616.0,0.413,39.698,-7.7,20.513,5.903
김성윤,우익수,538.0,0.42,37.905,-6.725,17.915,5.473
오스틴,1루수,499.0,0.428,38.681,-10.396,16.617,5.421
양의지,포수,517.0,0.421,36.868,10.771,17.216,5.302
최형우,지명타자,549.0,0.413,35.704,-16.012,18.282,5.293
김주원,유격수,624.0,0.388,27.366,7.8,20.779,4.72
문보경,3루수,607.0,0.383,23.905,2.529,20.213,4.325
데이비슨,1루수,439.0,0.415,29.286,-9.146,14.619,4.304
레이예스,좌익수,643.0,0.377,21.95,-8.038,21.412,4.251
노시환,3루수,624.0,0.375,20.669,2.6,20.779,4.064
문현빈,좌익수,592.0,0.376,19.945,-7.4,19.714,3.888
김현수,좌익수,552.0,0.382,21.188,-6.9,18.382,3.879
에레디아,좌익수,415.0,0.404,23.864,-5.188,13.82,3.694
케이브,우익수,593.0,0.372,17.906,-7.412,19.747,3.691
신민재,2루수,538.0,0.376,18.138,2.242,17.915,3.535
박성한,유격수,538.0,0.37,15.377,6.725,17.915,3.264
이재현,유격수,555.0,0.368,14.805,6.938,18.482,3.263
위즈덤,1루수,486.0,0.376,16.334,-10.125,16.184,3.188
채은성,1루수,527.0,0.367,13.803,-10.979,17.549,3.074
박민우,2루수,468.0,0.375,15.206,1.95,15.584,3.019
윤동희,우익수,399.0,0.387,16.983,-4.988,13.287,2.968
권희동,좌익수,456.0,0.374,14.615,-5.7,15.185,2.922
문성주,우익수,542.0,0.36,11.094,-6.775,18.049,2.857
전준우,지명타자,472.0,0.368,12.681,-13.767,15.718,2.784
박동원,포수,523.0,0.361,10.897,10.896,17.416,2.776
김휘집,3루수,500.0,0.363,11.186,2.083,16.65,2.729
박건우,우익수,442.0,0.371,12.952,-5.525,14.719,2.713
박해민,중견수,544.0,0.357,9.441,2.267,18.115,2.702
박찬호,유격수,595.0,0.351,7.457,7.438,19.814,2.674
최정,3루수,406.0,0.375,13.421,1.692,13.52,2.641
한유섬,우익수,511.0,0.356,8.545,-6.388,17.016,2.506
최재훈,포수,348.0,0.383,13.753,7.25,11.588,2.484
강백호,지명타자,368.0,0.376,12.41,-10.733,12.254,2.418
김선빈,2루수,308.0,0.391,14.273,1.283,10.256,2.405
리베라토,중견수,273.0,0.402,15.205,1.138,9.091,2.382
