runner_name,run_value,rWAR,1루타_1루_2루(머뭄),1루타_1루_3루(성공),1루타_1루_아웃,1루타_2루_3루(머뭄),1루타_2루_홈(성공),도루_성공,도루_실패,땅볼_1루주자_머뭄,땅볼_1루주자_아웃,땅볼_1루주자_진루,땅볼_2루주자_머뭄,땅볼_2루주자_아웃,땅볼_2루주자_진루,주루사_견제사
정준재,3.647,0.358,20,12,0,0,20,37,8,16,6,0,8,1,5,4
김주원,3.56,0.349,26,14,0,0,29,44,12,25,9,0,18,0,18,4
황성빈,2.086,0.205,11,7,0,0,17,25,4,6,3,1,9,0,6,1
최정원,1.847,0.181,7,6,0,0,11,30,7,12,6,0,2,0,2,2
박찬호,1.817,0.178,29,15,0,0,17,27,6,18,6,1,19,1,17,5
이원석,1.814,0.178,12,9,0,0,12,22,3,8,5,0,6,1,9,6
이유찬,1.608,0.158,14,4,0,0,10,12,2,14,3,1,10,0,7,3
오스틴,1.607,0.158,20,13,0,0,18,3,0,19,12,0,4,0,16,2
구자욱,1.348,0.132,27,16,0,0,21,4,1,25,5,0,16,0,11,7
송성문,1.17,0.115,24,11,0,0,26,25,2,22,14,0,23,1,15,8
안현민,1.137,0.111,14,21,0,0,15,7,2,26,10,0,10,0,8,5
김호령,1.006,0.099,18,7,0,0,13,12,1,12,2,0,14,0,9,7
이도윤,0.997,0.098,7,6,0,0,14,1,0,6,5,0,2,0,8,1
이주형2,1.001,0.098,6,8,0,0,7,9,0,9,5,0,8,1,4,1
김지찬,0.999,0.098,12,6,1,0,16,22,3,15,8,0,10,1,14,4
전병우,0.966,0.095,5,0,0,0,3,1,0,5,1,1,3,0,1,0
김도영,0.839,0.082,7,2,0,0,5,3,0,4,1,0,1,0,5,1
케이브,0.744,0.073,27,11,0,1,20,17,1,18,10,0,8,1,12,8
박수종,0.687,0.067,3,1,0,0,1,1,0,3,0,0,2,0,2,0
박세혁,0.588,0.058,5,0,0,0,3,1,0,3,0,0,1,0,0,0
이창용,0.577,0.057,0,1,0,0,0,1,0,0,0,0,1,0,0,0
손호영,0.565,0.055,9,10,0,0,12,7,0,13,7,0,10,1,7,4
김민혁,0.527,0.052,25,12,0,0,17,11,3,19,7,1,14,0,2,2
김재현,0.518,0.051,4,1,0,0,4,1,0,1,0,0,1,0,2,0
류현준,0.438,0.043,0,0,0,0,1,0,0,3,1,0,0,0,2,0
나성범,0.394,0.039,11,5,0,0,5,0,0,11,4,0,1,0,3,1
양도근,0.356,0.035,10,3,0,0,3,5,1,16,6,0,6,0,5,3
추재현,0.347,0.034,5,3,0,0,1,0,0,0,1,0,1,0,5,0
정현승,0.297,0.029,0,0,0,0,0,0,0,1,0,0,0,0,1,0
강민성,0.272,0.027,0,0,0,0,0,0,0,3,1,0,1,0,1,0
김도환,0.268,0.026,0,0,0,0,2,0,0,0,0,0,0,0,2,0
최상민,0.226,0.022,1,0,0,0,2,1,1,3,0,0,0,0,3,1
이병헌,0.216,0.021,2,0,0,0,3,0,0,2,0,0,0,0,0,0
장재영,0.194,0.019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
전다민,0.185,0.018,0,0,0,0,0,3,0,1,0,0,0,0,0,1
함수호,0.173,0.017,1,0,0,0,0,0,0,1,0,0,0,0,1,0
원성준,0.177,0.017,1,1,0,0,1,0,0,1,2,0,0,0,2,0
김동헌,0.163,0.016,7,1,0,0,2,0,0,3,2,0,0,0,2,0
심우준,0.162,0.016,11,6,0,0,14,11,1,10,7,0,9,0,4,4
임근우,0.142,0.014,0,0,0,0,0,0,0,1,0,0,0,0,0,0
이형종,0.147,0.014,3,1,0,0,3,1,0,3,2,0,1,0,2,0
이주형58,0.136,0.013,0,0,0,0,0,0,0,1,0,0,0,0,0,0
이해승,0.136,0.013,1,0,0,0,1,0,0,1,0,0,0,0,1,0
김준태,0.134,0.013,1,0,0,0,1,0,0,1,0,0,0,0,0,0
로하스,0.121,0.012,17,9,0,0,8,1,1,10,7,0,6,0,7,2
김현종,0.114,0.011,1,1,0,0,2,0,0,1,0,0,0,0,0,0
한석현,0.102,0.01,2,2,0,0,3,1,1,6,1,0,1,0,3,1
손성빈,0.097,0.01,2,2,0,0,0,0,0,1,0,0,0,0,0,0
주효상,0.106,0.01,1,1,0,0,0,0,0,1,0,0,0,0,0,0
노진혁,0.088,0.009,4,3,0,0,3,0,0,2,2,0,1,0,1,0
맥브룸,0.07,0.007,3,0,0,0,2,0,0,2,1,0,0,0,0,0
박헌,0.07,0.007,0,0,0,0,0,0,0,2,1,0,0,0,0,0
양현종,0.058,0.006,0,0,0,0,1,0,0,0,0,0,1,0,1,0
김수윤,0.048,0.005,0,0,0,0,0,0,0,1,0,0,0,0,0,0
김성우,0.047,0.005,0,0,0,0,0,0,0,1,0,0,1,0,0,0
장규현,0.047,0.005,0,0,0,0,0,0,0,1,0,0,1,0,0,0
조수행,0.028,0.003,8,3,0,1,14,30,7,9,2,1,10,0,6,4
정해원,0.021,0.002,1,0,0,0,1,0,0,2,1,0,1,0,1,0
이승민,0.024,0.002,1,0,0,0,0,0,0,1,0,0,0,0,0,0
김한별,0.016,0.002,3,1,0,0,6,1,0,3,4,0,1,0,2,0
김태훈타,0.001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이승현,0.001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김건희,-0.005,-0.0,9,4,0,0,7,2,1,8,2,1,7,0,4,1
서유신,-0.012,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
오서진,-0.006,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김재혁,-0.024,-0.002,1,0,0,0,0,0,0,1,0,0,1,0,0,0
이용규,-0.033,-0.003,2,1,0,0,1,1,0,0,2,0,1,0,1,0
