season,situation,value,runner_state,out_count,run,count
2025,00,0.535,0,0,11931,22302
2025,01,0.279,0,1,4349,15593
2025,02,0.1,0,2,1232,12255
2025,03,0.0,0,3,0,0
2025,10,0.958,1,0,5472,5714
2025,11,0.561,1,1,3726,6647
2025,12,0.235,1,2,1502,6397
2025,13,0.0,1,3,0,0
2025,20,1.211,2,0,1776,1467
2025,21,0.728,2,1,2118,2909
2025,22,0.338,2,2,1195,3537
2025,23,0.0,2,3,0,0
2025,30,1.659,3,0,2459,1482
2025,31,1.02,3,1,2858,2803
2025,32,0.466,3,2,1653,3547
2025,33,0.0,3,3,0,0
2025,40,1.421,4,0,260,183
2025,41,1.058,4,1,978,924
2025,42,0.377,4,2,532,1410
2025,43,0.0,4,3,0,0
2025,50,1.858,5,0,1007,542
2025,51,1.272,5,1,1375,1081
2025,52,0.513,5,2,792,1544
2025,53,0.0,5,3,0,0
2025,60,2.167,6,0,728,336
2025,61,1.481,6,1,1302,879
2025,62,0.584,6,2,572,979
2025,63,0.0,6,3,0,0
2025,70,2.618,7,0,1057,404
2025,71,1.718,7,1,1799,1047
2025,72,0.854,7,2,1151,1347
2025,73,0.0,7,3,0,0
