season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,1,0,away,0,0,0.68,0.77,0.85,0.86,0.85,0.79,0.68,0.56,0.45
2025,1,0,away,1,0,1.09,1.24,1.34,1.37,1.31,1.19,1.03,0.84,0.65
2025,1,0,away,2,0,0.96,1.08,1.15,1.15,1.11,0.99,0.85,0.7,0.53
2025,1,0,away,3,0,1.58,1.75,1.83,1.82,1.7,1.53,1.28,1.02,0.76
2025,1,0,away,4,0,1.02,1.15,1.21,1.2,1.14,1.01,0.86,0.7,0.53
2025,1,0,away,5,0,1.36,1.48,1.53,1.49,1.38,1.21,1.0,0.79,0.58
2025,1,0,away,6,0,1.14,1.22,1.24,1.2,1.09,0.94,0.77,0.6,0.39
2025,1,0,away,7,0,2.18,2.33,2.35,2.25,2.05,1.78,1.44,1.08,0.72
2025,1,0,away,0,1,0.46,0.54,0.6,0.62,0.62,0.56,0.49,0.41,0.33
2025,1,0,away,1,1,0.87,1.0,1.1,1.14,1.12,1.02,0.89,0.74,0.55
2025,1,0,away,2,1,0.94,1.08,1.19,1.24,1.19,1.1,0.97,0.8,0.62
2025,1,0,away,3,1,1.47,1.67,1.81,1.85,1.78,1.61,1.4,1.13,0.84
2025,1,0,away,4,1,0.85,1.0,1.12,1.18,1.18,1.1,0.97,0.81,0.65
2025,1,0,away,5,1,1.29,1.45,1.56,1.59,1.52,1.4,1.22,0.99,0.75
2025,1,0,away,6,1,1.4,1.56,1.66,1.66,1.57,1.4,1.2,0.98,0.61
2025,1,0,away,7,1,1.95,2.15,2.27,2.24,2.1,1.87,1.58,1.26,0.83
2025,1,0,away,0,2,0.25,0.29,0.33,0.35,0.36,0.33,0.31,0.25,0.21
2025,1,0,away,1,2,0.58,0.68,0.76,0.8,0.8,0.73,0.66,0.54,0.42
2025,1,0,away,2,2,0.77,0.92,1.03,1.1,1.11,1.03,0.93,0.77,0.61
2025,1,0,away,3,2,1.17,1.36,1.5,1.58,1.56,1.43,1.27,1.02,0.78
