경기종류,구종,총투구수,스트라이크,스트라이크율,타수,피안타,피안타율
기타(4213),직구,9,8.0,88.9%,4.0,2.0,.500
기타(4213),슬라이더,9,5.0,55.6%,1.0,0.0,.000
기타(4213),포크,2,1.0,50.0%,1.0,1.0,1.000
기타(4208),직구,33,20.0,60.6%,5.0,1.0,.200
기타(4208),슬라이더,28,21.0,75.0%,6.0,1.0,.167
기타(4208),포크,6,2.0,33.3%,2.0,0.0,.000
기타(4207),직구,36,22.0,61.1%,9.0,2.0,.222
기타(4207),슬라이더,34,24.0,70.6%,5.0,2.0,.400
기타(4207),포크,16,7.0,43.8%,5.0,1.0,.200
기타(4206),직구,33,21.0,63.6%,10.0,2.0,.200
기타(4206),슬라이더,25,18.0,72.0%,5.0,0.0,.000
기타(4206),포크,7,3.0,42.9%,2.0,1.0,.500
기타(4206),커브,6,5.0,83.3%,1.0,0.0,.000
정규경기,직구,26,17.0,65.4%,7.0,2.0,.286
정규경기,슬라이더,15,10.0,66.7%,2.0,1.0,.500
정규경기,포크,7,2.0,28.6%,2.0,1.0,.500
정규경기,커브,7,5.0,71.4%,1.0,0.0,.000
정규경기,투심,2,1.0,50.0%,0.0,0.0,.000
