# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
A,1,0,0,0,0.139,0.19,0.253,0.327,0.411,0.5,0.589,0.673,0.747,0.81,0.861
A,1,0,0,1,0.163,0.219,0.286,0.363,0.448,0.536,0.622,0.701,0.771,0.829,0.876
A,1,0,0,2,0.176,0.235,0.306,0.385,0.472,0.56,0.644,0.721,0.788,0.843,0.887
A,1,0,0,12,0.204,0.266,0.339,0.42,0.505,0.59,0.67,0.743,0.805,0.856,0.896
A,1,0,0,3,0.187,0.249,0.322,0.404,0.492,0.581,0.665,0.74,0.803,0.856,0.897
A,1,0,0,13,0.217,0.283,0.359,0.442,0.528,0.614,0.693,0.763,0.822,0.87,0.907
A,1,0,0,23,0.233,0.301,0.379,0.464,0.551,0.635,0.712,0.779,0.835,0.88,0.915
A,1,0,0,123,0.26,0.331,0.409,0.493,0.577,0.657,0.73,0.794,0.846,0.888,0.921
A,1,0,1,0,0.123,0.171,0.231,0.304,0.387,0.477,0.568,0.654,0.732,0.798,0.852
A,1,0,1,1,0.14,0.191,0.254,0.329,0.413,0.502,0.591,0.674,0.749,0.811,0.862
A,1,0,1,2,0.148,0.202,0.267,0.344,0.429,0.518,0.607,0.689,0.761,0.821,0.87
A,1,0,1,12,0.166,0.222,0.29,0.367,0.452,0.539,0.625,0.704,0.773,0.83,0.877
A,1,0,1,3,0.16,0.217,0.286,0.365,0.453,0.543,0.63,0.709,0.779,0.836,0.881
A,1,0,1,13,0.179,0.238,0.309,0.389,0.476,0.564,0.648,0.725,0.791,0.845,0.888
A,1,0,1,23,0.191,0.253,0.326,0.408,0.495,0.582,0.665,0.739,0.802,0.854,0.895
A,1,0,1,123,0.208,0.271,0.345,0.425,0.51,0.595,0.675,0.747,0.809,0.859,0.898
A,1,0,2,0,0.113,0.159,0.217,0.288,0.37,0.46,0.552,0.641,0.721,0.789,0.845
A,1,0,2,1,0.12,0.168,0.227,0.3,0.382,0.472,0.564,0.651,0.729,0.796,0.85
A,1,0,2,2,0.126,0.174,0.235,0.309,0.392,0.483,0.574,0.66,0.737,0.802,0.855
A,1,0,2,12,0.134,0.185,0.247,0.321,0.405,0.494,0.584,0.668,0.743,0.807,0.859
A,1,0,2,3,0.128,0.177,0.239,0.313,0.397,0.487,0.578,0.664,0.74,0.805,0.857
A,1,0,2,13,0.138,0.189,0.252,0.327,0.411,0.5,0.589,0.673,0.748,0.811,0.862
A,1,0,2,23,0.142,0.194,0.258,0.333,0.418,0.507,0.595,0.678,0.752,0.814,0.864
A,1,0,2,123,0.157,0.211,0.277,0.353,0.437,0.525,0.611,0.692,0.763,0.823,0.871
A,1,0,3,0,0.107,0.152,0.208,0.278,0.36,0.45,0.543,0.633,0.714,0.783,0.84
H,1,1,0,0,0.16,0.217,0.286,0.367,0.457,0.55,0.64,0.722,0.792,0.848,0.893
H,1,1,0,1,0.187,0.249,0.322,0.405,0.495,0.585,0.671,0.748,0.812,0.864,0.904
H,1,1,0,2,0.202,0.267,0.344,0.429,0.52,0.61,0.693,0.767,0.828,0.876,0.914
H,1,1,0,12,0.232,0.3,0.379,0.464,0.552,0.638,0.717,0.786,0.842,0.887,0.921
H,1,1,0,3,0.214,0.282,0.361,0.449,0.541,0.631,0.713,0.784,0.842,0.888,0.922
H,1,1,0,13,0.246,0.318,0.4,0.488,0.577,0.663,0.739,0.805,0.858,0.899,0.931
H,1,1,0,23,0.264,0.339,0.422,0.511,0.6,0.683,0.757,0.819,0.869,0.908,0.937
H,1,1,0,123,0.293,0.369,0.453,0.539,0.624,0.703,0.773,0.831,0.878,0.914,0.941
H,1,1,1,0,0.142,0.196,0.264,0.343,0.432,0.527,0.62,0.705,0.778,0.838,0.885
H,1,1,1,1,0.161,0.218,0.288,0.369,0.459,0.552,0.642,0.723,0.793,0.849,0.893
H,1,1,1,2,0.171,0.231,0.303,0.386,0.476,0.569,0.657,0.736,0.804,0.858,0.9
H,1,1,1,12,0.19,0.253,0.326,0.41,0.499,0.589,0.674,0.75,0.814,0.866,0.905
H,1,1,1,3,0.184,0.247,0.323,0.409,0.501,0.593,0.68,0.756,0.82,0.871,0.91
H,1,1,1,13,0.204,0.27,0.347,0.433,0.524,0.614,0.697,0.77,0.83,0.878,0.915
H,1,1,1,23,0.218,0.287,0.366,0.453,0.543,0.631,0.712,0.783,0.84,0.886,0.921
H,1,1,1,123,0.236,0.306,0.385,0.47,0.558,0.644,0.722,0.79,0.846,0.89,0.923
H,1,1,2,0,0.131,0.183,0.248,0.326,0.415,0.51,0.605,0.692,0.768,0.83,0.879
H,1,1,2,1,0.139,0.193,0.259,0.338,0.428,0.522,0.616,0.701,0.775,0.836,0.883
H,1,1,2,2,0.145,0.2,0.268,0.348,0.438,0.533,0.625,0.71,0.782,0.841,0.887
H,1,1,2,12,0.155,0.211,0.28,0.361,0.451,0.544,0.635,0.717,0.788,0.846,0.891
H,1,1,2,3,0.148,0.203,0.272,0.353,0.443,0.537,0.629,0.713,0.785,0.844,0.889
H,1,1,2,13,0.159,0.216,0.286,0.367,0.457,0.55,0.64,0.722,0.792,0.849,0.893
H,1,1,2,23,0.164,0.222,0.293,0.374,0.464,0.556,0.646,0.727,0.795,0.851,0.895
H,1,1,2,123,0.18,0.24,0.312,0.394,0.483,0.574,0.661,0.739,0.805,0.859,0.9
H,1,1,3,0,0.125,0.175,0.239,0.316,0.404,0.5,0.596,0.684,0.761,0.825,0.875
A,2,0,0,0,0.125,0.175,0.239,0.316,0.404,0.5,0.596,0.684,0.761,0.825,0.875
A,2,0,0,1,0.149,0.205,0.274,0.354,0.444,0.538,0.63,0.713,0.785,0.843,0.889
A,2,0,0,2,0.162,0.222,0.294,0.378,0.47,0.564,0.654,0.734,0.802,0.857,0.899
A,2,0,0,12,0.191,0.254,0.33,0.414,0.505,0.595,0.68,0.756,0.819,0.869,0.908
A,2,0,0,3,0.173,0.235,0.311,0.398,0.492,0.586,0.675,0.753,0.818,0.87,0.909
A,2,0,0,13,0.203,0.271,0.35,0.438,0.53,0.621,0.704,0.777,0.836,0.883,0.919
A,2,0,0,23,0.219,0.29,0.372,0.462,0.554,0.643,0.724,0.793,0.849,0.893,0.926
A,2,0,0,123,0.248,0.321,0.404,0.492,0.581,0.666,0.742,0.807,0.859,0.9,0.931
A,2,0,1,0,0.109,0.156,0.216,0.291,0.379,0.475,0.573,0.665,0.746,0.813,0.866
A,2,0,1,1,0.126,0.176,0.24,0.318,0.407,0.502,0.597,0.686,0.763,0.826,0.876
A,2,0,1,2,0.134,0.187,0.254,0.334,0.424,0.52,0.614,0.7,0.775,0.836,0.883
A,2,0,1,12,0.152,0.209,0.278,0.359,0.448,0.542,0.633,0.715,0.787,0.845,0.89
A,2,0,1,3,0.146,0.202,0.273,0.356,0.449,0.546,0.639,0.722,0.793,0.85,0.895
A,2,0,1,13,0.165,0.225,0.298,0.382,0.474,0.568,0.657,0.737,0.805,0.859,0.901
A,2,0,1,23,0.177,0.24,0.316,0.402,0.494,0.587,0.675,0.752,0.816,0.868,0.907
A,2,0,1,123,0.195,0.259,0.336,0.421,0.511,0.601,0.685,0.76,0.822,0.872,0.91
A,2,0,2,0,0.099,0.143,0.201,0.274,0.361,0.458,0.557,0.651,0.734,0.804,0.86
A,2,0,2,1,0.106,0.152,0.212,0.287,0.374,0.471,0.569,0.661,0.743,0.811,0.864
A,2,0,2,2,0.111,0.159,0.221,0.296,0.385,0.482,0.579,0.671,0.751,0.817,0.869
A,2,0,2,12,0.12,0.17,0.233,0.31,0.398,0.494,0.59,0.679,0.757,0.822,0.873
A,2,0,2,3,0.113,0.162,0.224,0.301,0.39,0.486,0.584,0.675,0.754,0.819,0.871
A,2,0,2,13,0.124,0.174,0.238,0.315,0.404,0.5,0.596,0.684,0.762,0.825,0.876
A,2,0,2,23,0.128,0.18,0.245,0.323,0.412,0.507,0.602,0.689,0.766,0.828,0.878
A,2,0,2,123,0.143,0.197,0.264,0.343,0.432,0.526,0.618,0.703,0.777,0.837,0.884
A,2,0,3,0,0.093,0.136,0.193,0.264,0.35,0.447,0.547,0.642,0.727,0.799,0.855
H,2,1,0,0,0.145,0.201,0.273,0.358,0.453,0.553,0.65,0.736,0.807,0.864,0.907
H,2,1,0,1,0.172,0.235,0.311,0.398,0.494,0.591,0.682,0.762,0.828,0.879,0.917
H,2,1,0,2,0.187,0.253,0.333,0.424,0.52,0.617,0.705,0.782,0.843,0.891,0.926
H,2,1,0,12,0.218,0.289,0.371,0.461,0.555,0.647,0.73,0.8,0.857,0.901,0.933
H,2,1,0,3,0.199,0.268,0.352,0.445,0.544,0.64,0.727,0.799,0.857,0.901,0.934
H,2,1,0,13,0.233,0.307,0.393,0.486,0.582,0.673,0.753,0.82,0.873,0.912,0.941
H,2,1,0,23,0.25,0.328,0.417,0.511,0.606,0.694,0.771,0.834,0.883,0.92,0.947
H,2,1,0,123,0.282,0.361,0.449,0.541,0.631,0.715,0.787,0.846,0.892,0.926,0.95
H,2,1,1,0,0.127,0.181,0.249,0.331,0.427,0.529,0.629,0.718,0.794,0.854,0.899
H,2,1,1,1,0.146,0.203,0.275,0.36,0.455,0.555,0.652,0.737,0.808,0.865,0.907
H,2,1,1,2,0.156,0.216,0.29,0.377,0.474,0.573,0.668,0.751,0.819,0.873,0.913
H,2,1,1,12,0.176,0.239,0.315,0.403,0.498,0.594,0.685,0.764,0.829,0.88,0.918
H,2,1,1,3,0.169,0.232,0.311,0.402,0.501,0.6,0.692,0.771,0.836,0.885,0.922
H,2,1,1,13,0.19,0.257,0.337,0.428,0.525,0.621,0.709,0.785,0.845,0.892,0.927
