season,situation,value,runner_state,out_count,run,count
2025,00,0.534,0,0,11918,22304
2025,01,0.278,0,1,4340,15591
2025,02,0.1,0,2,1227,12252
2025,03,0.0,0,3,0,0
2025,10,0.958,1,0,5472,5715
2025,11,0.56,1,1,3723,6650
2025,12,0.234,1,2,1496,6394
2025,13,0.0,1,3,0,0
2025,20,1.209,2,0,1772,1466
2025,21,0.729,2,1,2119,2909
2025,22,0.338,2,2,1197,3538
2025,23,0.0,2,3,0,0
2025,30,1.659,3,0,2464,1485
2025,31,1.02,3,1,2858,2802
2025,32,0.467,3,2,1658,3548
2025,33,0.0,3,3,0,0
2025,40,1.42,4,0,260,183
2025,41,1.057,4,1,977,924
2025,42,0.378,4,2,533,1411
2025,43,0.0,4,3,0,0
2025,50,1.857,5,0,1007,542
2025,51,1.269,5,1,1373,1082
2025,52,0.513,5,2,792,1545
2025,53,0.0,5,3,0,0
2025,60,2.166,6,0,728,336
2025,61,1.478,6,1,1302,881
2025,62,0.583,6,2,572,981
2025,63,0.0,6,3,0,0
2025,70,2.62,7,0,1058,404
2025,71,1.725,7,1,1806,1047
2025,72,0.856,7,2,1153,1347
2025,73,0.0,7,3,0,0
